Tahun,Jumlah Kecelakaan,Korban Meninggal Dunia,Korban Luka Berat,Korban Luka Ringan,Kerugian Materi (Juta Rupiah)
1992,19920,9819,13363,14846,15077
1993,17323,10038,11453,13037,14714
1994,17469,11004,11055,12215,16544
1995,16510,10990,9952,11873,17745
1996,15291,10869,8968,10374,18411
1997,17101,12308,9913,12699,20848
1998,14858,11694,8878,10609,26941
1999,12675,9917,7329,9385,32755
2000,12649,9536,7100,9518,36281
2001,12791,9522,6656,9181,37617
2002,12267,8762,6012,8929,41030
2003,13399,9856,6142,8694,45778
2004,17732,11204,8983,12084,53044
2005,91623,16115,35891,51317,51556
2006,87020,15762,33282,52310,81848
2007,49553,16955,20181,46827,103289
2008,59164,20188,23440,55731,131207
2009,62960,19979,23469,62936,136285
2010,66488,19873,26196,63809,158259
2011,108696,31195,35285,108945,217435
2012,117949,29544,39704,128312,298627
2013,100106,26416,28438,110448,255864
2014,95906,28297,26840,109741,250021
2015,98970,26495,23937,110714,272318
2016,106644,31262,20075,120532,229137
2017,103228,30568,14395,119945,215446
